Elevator,Floor,Price,Size,Year,Room,Hall,Id
0.0,6.0,780.0,75.0,1988.0,3,1.0,101102647043
0.0,6.0,705.0,60.0,1988.0,2,1.0,101102650978
1.0,16.0,1400.0,210.0,1996.0,3,1.0,101102672743
1.0,7.0,420.0,39.0,2004.0,1,1.0,101102577410
1.0,7.0,420.0,39.0,2004.0,1,1.0,101102577410
1.0,19.0,998.0,90.0,2010.0,2,2.0,101102574696
1.0,18.0,1180.0,111.0,2003.0,2,1.0,101102407993
0.0,6.0,319.0,42.0,1992.0,1,1.0,101102629841
1.0,16.0,640.0,105.0,1999.0,2,1.0,101102378003
1.0,9.0,1780.0,161.0,2003.0,3,2.0,101102345859
1.0,25.0,1300.0,127.0,2002.0,2,2.0,101102070529
0.0,5.0,405.0,37.0,1986.0,1,1.0,101102599410
0.0,5.0,700.0,50.0,1985.0,2,1.0,101102516190
1.0,19.0,462.0,54.0,2004.0,1,1.0,101102620368
1.0,18.0,518.0,64.0,2000.0,1,0.0,101102624056
1.0,23.0,960.0,146.0,2002.0,3,1.0,101102691675
0.0,4.0,457.0,50.0,1957.0,2,0.0,101102653830
1.0,18.0,610.0,58.0,1986.0,2,1.0,101102570446
1.0,18.0,340.0,33.0,2011.0,2,1.0,101102583180
1.0,17.0,1120.0,78.0,1990.0,3,1.0,101102306094
1.0,26.0,320.0,28.0,2006.0,1,0.0,101101718499
1.0,12.0,596.0,59.0,1999.0,2,1.0,101102532889
1.0,18.0,888.0,78.0,1988.0,2,1.0,101102454060
0.0,7.0,405.0,45.0,1991.0,1,1.0,101102089935
0.0,6.0,650.0,60.0,1997.0,2,1.0,101102528745
0.0,7.0,470.0,61.0,1992.0,2,1.0,101102625441
0.0,6.0,635.0,84.0,1955.0,3,0.0,101102562685
1.0,7.0,343.0,52.0,2001.0,1,0.0,101102161792
1.0,7.0,343.0,52.0,2001.0,1,0.0,101102161792
1.0,10.0,835.0,86.0,1999.0,2,2.0,101102387406
1.0,10.0,835.0,86.0,1999.0,2,2.0,101102387406
0.0,6.0,430.0,65.0,1980.0,2,1.0,101102395918
1.0,12.0,610.0,75.0,1998.0,2,1.0,101102691041
0.0,6.0,710.0,115.0,1997.0,3,2.0,101102484521
1.0,20.0,545.0,71.0,1990.0,2,2.0,101102542167
1.0,18.0,670.0,105.0,2005.0,2,1.0,101102257420
1.0,17.0,1200.0,146.0,2009.0,3,2.0,101102022906
0.0,6.0,1295.0,259.0,2004.0,3,2.0,101102430288
1.0,19.0,1500.0,151.0,2009.0,5,2.0,101102236046
1.0,32.0,930.0,142.0,2003.0,3,2.0,101102194563
1.0,11.0,665.0,86.0,2010.0,2,1.0,101102242404
0.0,6.0,490.0,83.0,1994.0,3,1.0,101102292255
1.0,27.0,720.0,108.0,2008.0,2,2.0,101101796327
1.0,25.0,2400.0,161.0,2011.0,3,2.0,101102409723
1.0,22.0,720.0,109.0,2001.0,2,2.0,101102315128
0.0,6.0,696.0,116.0,2000.0,3,1.0,101102553280
1.0,14.0,680.0,108.0,2006.0,2,1.0,101102528200
1.0,14.0,580.0,73.0,2004.0,1,1.0,101102158016
1.0,22.0,865.0,115.0,2002.0,2,1.0,101102377589
1.0,18.0,409.0,72.0,1993.0,3,1.0,101102330970
1.0,13.0,1350.0,176.0,1999.0,3,2.0,101102484217
1.0,17.0,2000.0,379.0,2002.0,4,2.0,101102598253
1.0,22.0,790.0,138.0,2000.0,3,1.0,101102243227
1.0,28.0,1000.0,95.0,2007.0,2,1.0,101102139571
0.0,7.0,960.0,137.0,1999.0,3,2.0,101102158682
1.0,25.0,980.0,164.0,1995.0,3,1.0,101101485359
0.0,5.0,392.0,68.0,1981.0,3,1.0,101101543909
0.0,3.0,820.0,164.0,2004.0,3,2.0,101102600356
1.0,22.0,849.0,116.0,2002.0,3,1.0,101102424780
1.0,21.0,600.0,89.0,2001.0,2,1.0,101102319029
1.0,21.0,600.0,89.0,2001.0,2,1.0,101102319029
1.0,11.0,380.0,44.0,2011.0,1,0.0,101102717489
1.0,11.0,380.0,44.0,2011.0,1,0.0,101102717489
1.0,10.0,750.0,58.0,2003.0,1,1.0,101101752286
1.0,10.0,750.0,58.0,2003.0,1,1.0,101101752286
1.0,9.0,1020.0,132.0,2004.0,3,2.0,101102458134
1.0,9.0,1020.0,132.0,2004.0,3,2.0,101102458134
1.0,16.0,360.0,47.0,2005.0,1,0.0,101101374317
1.0,7.0,1900.0,153.0,2000.0,3,2.0,101101559720
1.0,7.0,1900.0,153.0,2000.0,3,2.0,101101559720
0.0,5.0,476.0,47.0,1980.0,2,1.0,101102646045
0.0,6.0,446.0,57.0,1986.0,2,1.0,101102486872
1.0,18.0,1239.0,177.0,1996.0,4,2.0,101101037385
1.0,5.0,2000.0,179.0,2012.0,3,3.0,101102470203
0.0,5.0,550.0,79.0,1998.0,2,1.0,101101458578
1.0,9.0,560.0,82.0,2008.0,2,1.0,101102486548
1.0,26.0,639.0,78.0,2004.0,1,1.0,101102668310
0.0,6.0,550.0,68.0,1987.0,3,1.0,101102318042
