Direction,District,Garden,Region,Floor,Renovation,Size,Year,Room,Elevator,Hall,Price
20,149,4091,0,6,3,75.0,1988,3,0.0,1.0,780.0
33,9,220,0,6,3,60.0,1988,2,0.0,1.0,705.0
37,104,2132,0,16,0,210.0,1996,3,1.0,1.0,1400.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,104,710,0,7,3,39.0,2004,1,1.0,1.0,420.0
30,210,369,0,19,3,90.0,2010,2,1.0,2.0,998.0
33,110,1828,0,18,0,111.0,2003,2,1.0,1.0,1180.0
30,193,3750,0,6,0,42.0,1992,1,0.0,1.0,319.0
30,193,1891,0,16,0,105.0,1999,2,1.0,1.0,640.0
33,14,1733,0,9,3,161.0,2003,3,1.0,2.0,1780.0
4,13,44,0,25,3,127.0,2002,2,1.0,2.0,1300.0
30,105,914,0,5,3,37.0,1986,1,0.0,1.0,405.0
30,73,1815,0,5,0,50.0,1985,2,0.0,1.0,700.0
45,110,3977,0,19,3,54.0,2004,1,1.0,1.0,462.0
45,104,1543,0,18,3,64.0,2000,1,1.0,0.0,518.0
50,181,617,12,23,0,146.0,2002,3,1.0,1.0,960.0
0,132,3655,12,4,2,50.0,1957,2,0.0,0.0,457.0
47,220,1102,12,18,2,58.0,1986,2,1.0,1.0,610.0
27,222,3217,12,18,3,33.0,2011,2,1.0,1.0,340.0
50,35,684,12,17,0,78.0,1990,3,1.0,1.0,1120.0
27,109,3532,12,26,3,28.0,2006,1,1.0,0.0,320.0
33,151,1818,12,12,2,59.0,1999,2,1.0,1.0,596.0
33,132,3112,12,18,3,78.0,1988,2,1.0,1.0,888.0
47,62,1147,12,7,0,45.0,1991,1,0.0,1.0,405.0
33,191,2925,12,6,2,60.0,1997,2,0.0,1.0,650.0
33,222,3282,12,7,3,61.0,1992,2,0.0,1.0,470.0
30,151,3051,12,6,2,84.0,1955,3,0.0,0.0,635.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
45,27,3397,9,7,3,52.0,2001,1,1.0,0.0,343.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
33,125,1440,9,10,3,86.0,1999,2,1.0,2.0,835.0
20,70,1300,9,6,3,65.0,1980,2,0.0,1.0,430.0
33,4,1771,9,12,3,75.0,1998,2,1.0,1.0,610.0
33,125,2403,9,6,3,115.0,1997,3,0.0,2.0,710.0
