District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
灯市口,0,6,锡拉胡同21号院,101102647043,3室1厅,780.0,东城,2,75.0,1988
东单,-1,6,东华门大街,101102650978,2室1厅,705.0,东城,2,60.0,1988
崇文门,1,16,新世界中心,101102672743,3室1厅,1400.0,东城,-1,210.0,1996
崇文门,0,7,兴隆都市馨园,101102577410,1室1厅,420.0,东城,2,39.0,2004
陶然亭,1,19,中海紫御公馆,101102574696,2室2厅,998.0,东城,2,90.0,2010
广渠门,1,18,幸福家园二期,101102407993,2室1厅,1180.0,东城,-1,111.0,2003
西罗园,-1,6,西革新里110号院,101102629841,1室1厅,319.0,东城,-1,42.0,1992
西罗园,1,16,建予园,101102378003,2室1厅,640.0,东城,-1,105.0,1999
东花市,1,9,富贵园一区,101102345859,3室2厅,1780.0,东城,2,161.0,2003
东直门,1,25,万国城MOMA,101102070529,2室2厅,1300.0,东城,2,127.0,2002
工体,-1,5,十字坡东里,101102599410,1室1厅,405.0,东城,2,37.0,1986
地安门,-1,5,帽儿胡同45号院,101102516190,2室1厅,700.0,东城,-1,50.0,1985
广渠门,1,19,金桥国际,101102620368,1室1厅,462.0,东城,2,54.0,2004
崇文门,1,18,太华公寓,101102624056,1室0厅,518.0,东城,2,64.0,2000
菜户营,1,23,信德园,101102691675,3室1厅,960.0,西城,-1,146.0,2002
木樨地,-1,4,西便门外大街,101102653830,2室0厅,457.0,西城,1,50.0,1957
马甸,0,18,双旗杆东里,101102570446,2室1厅,610.0,西城,1,58.0,1986
马连道,1,18,第三区,101102583180,2房间2卫,340.0,西城,2,33.0,2011
六铺炕,1,17,六铺炕二区,101102306094,3室1厅,1120.0,西城,-1,78.0,1990
广安门,1,26,荣丰2008,101101718499,1室0厅,320.0,西城,2,28.0,2006
牛街,1,12,平原里小区,101102532889,2室1厅,596.0,西城,1,59.0,1999
木樨地,1,18,真武庙六里,101102454060,2室1厅,888.0,西城,2,78.0,1988
右安门内,-1,7,右安门内大街,101102089935,1室1厅,405.0,西城,-1,45.0,1991
西直门,-1,6,玉桃园二区,101102528745,2室1厅,650.0,西城,1,60.0,1997
马连道,-1,7,红莲南里,101102625441,2室1厅,470.0,西城,2,61.0,1992
牛街,0,6,白广路6号院,101102562685,3室0厅,635.0,西城,1,84.0,1955
亚运村小营,1,7,育慧里一区,101102161792,1室0厅,343.0,朝阳,2,52.0,2001
望京,1,10,大西洋新城A区,101102387406,2室2厅,835.0,朝阳,2,86.0,1999
团结湖,-1,6,团结湖路,101102395918,2室1厅,430.0,朝阳,2,65.0,1980
三元桥,1,12,尚家楼48号院,101102691041,2室1厅,610.0,朝阳,2,75.0,1998
望京,-1,6,望京西园一区,101102484521,3室2厅,710.0,朝阳,2,115.0,1997
亚运村,1,20,安慧里四区,101102542167,2室2厅,545.0,朝阳,2,71.0,1990
朝阳公园,1,18,泰华滨河苑,101102257420,2室1厅,670.0,朝阳,2,105.0,2005
望京,1,17,北京香颂,101102022906,3室2厅,1200.0,朝阳,1,146.0,2009
豆各庄,-1,6,京城雅居,101102430288,3室2厅,1295.0,朝阳,2,259.0,2004
亚运村小营,1,19,一瓶四和院,101102236046,5室2厅,1500.0,朝阳,2,151.0,2009
四惠,1,32,东恒时代一期,101102194563,3室2厅,930.0,朝阳,2,142.0,2003
北苑,1,11,润泽悦溪,101102242404,2室1厅,665.0,朝阳,1,86.0,2010
潘家园,-1,6,潘家园小区,101102292255,3室1厅,490.0,朝阳,1,83.0,1994
十里堡,1,27,东恒时代三期,101101796327,2室2厅,720.0,朝阳,2,108.0,2008
太阳宫,1,25,红玺台,101102409723,3室2厅,2400.0,朝阳,2,161.0,2011
双井,1,22,九龙花园,101102315128,2室2厅,720.0,朝阳,-1,109.0,2001
高碑店,0,6,兴隆家园,101102553280,3室1厅,696.0,朝阳,2,116.0,2000
北苑,0,14,北苑家园望春园,101102528200,2室1厅,680.0,朝阳,2,108.0,2006
四惠,1,14,远洋天地三期,101102158016,1室1厅,580.0,朝阳,2,73.0,2004
甜水园,1,22,华阳家园,101102377589,2室1厅,865.0,朝阳,2,115.0,2002
华威桥,0,18,双龙南里,101102330970,3室1厅,409.0,朝阳,1,72.0,1993
亚运村,1,13,华馨公寓,101102484217,3室2厅,1350.0,朝阳,1,176.0,1999
亚运村,0,17,名人公寓,101102598253,4室2厅,2000.0,朝阳,2,379.0,2002
双井,1,22,双花园南里一区,101102243227,3室1厅,790.0,朝阳,2,138.0,2000
望京,1,28,融科橄榄城二期,101102139571,2室1厅,1000.0,朝阳,2,95.0,2007
芍药居,-1,7,芍药居2号院,101102158682,3室2厅,960.0,朝阳,2,137.0,1999
惠新西街,1,25,罗马花园,101101485359,3室1厅,980.0,朝阳,2,164.0,1995
四惠,-1,5,八里庄东里北巷,101101543909,3室1厅,392.0,朝阳,1,68.0,1981
豆各庄,-1,3,扬州水乡,101102600356,3室2厅,820.0,朝阳,1,164.0,2004
双井,1,22,双花园南里二区,101102424780,3室1厅,849.0,朝阳,2,116.0,2002
学院路,1,21,学知轩,101102319029,2室1厅,600.0,海淀,2,89.0,2001
安宁庄,0,11,上林溪,101102717489,1室0厅,380.0,海淀,2,44.0,2011
万柳,1,10,万泉新新商务花园,101101752286,1室1厅,750.0,海淀,2,58.0,2003
田村,1,9,碧森里,101102458134,3室2厅,1020.0,海淀,1,132.0,2004
北太平庄,0,16,庚坊国际,101101374317,1室0厅,360.0,海淀,1,47.0,2005
世纪城,1,7,远大园四区,101101559720,3室2厅,1900.0,海淀,1,153.0,2000
公主坟,-1,5,翠微路2号院,101102646045,2室1厅,476.0,海淀,1,47.0,1980
军博,0,6,北蜂窝103号院,101102486872,2室1厅,446.0,海淀,-1,57.0,1986
紫竹桥,1,18,北洼路28号院,101101037385,4室2厅,1239.0,海淀,1,177.0,1996
玉泉路,1,5,长安山麓,101102470203,3室3厅,2000.0,海淀,-1,179.0,2012
定慧寺,-1,5,永安东里,101101458578,2室1厅,550.0,海淀,1,79.0,1998
清河,1,9,金隅美和园,101102486548,2室1厅,560.0,海淀,2,82.0,2008
牡丹园,1,26,中鑫嘉园,101102668310,1室1厅,639.0,海淀,2,78.0,2004
颐和园,-1,6,骚子营,101102318042,3室1厅,550.0,海淀,2,68.0,1987
五棵松,-1,6,六建,101102039176,3室1厅,700.0,海淀,1,82.0,1992
四季青,-1,6,美丽西园,101101975796,2室1厅,740.0,海淀,2,93.0,2002
万寿路,-1,5,万寿路1号院,101102099261,2室1厅,445.0,海淀,2,55.0,1978
上地,-1,5,上地东里,101102571351,3室2厅,1500.0,海淀,-1,164.0,1996
海淀北部新区,1,9,正源尚峰尚水,101102523024,3室2厅,795.0,海淀,2,131.0,2012
五道口,0,6,东王庄,101102431123,3室1厅,835.0,海淀,2,90.0,1997
紫竹桥,1,18,北洼东里,101101865409,3室2厅,839.0,海淀,2,98.0,1999
田村,0,6,田村39号院,101102347879,2室1厅,490.0,海淀,1,72.0,1996
公主坟,1,18,翠微南里,101102566456,2室1厅,720.0,海淀,1,81.0,1990
西北旺,1,7,西山公馆,101102298542,3室1厅,1250.0,海淀,2,150.0,2010
西二旗,1,18,铭科苑,101102409665,3室1厅,560.0,海淀,-1,114.0,1999
双榆树,1,20,知春路82号院,101101986001,3室1厅,1350.0,海淀,-1,115.0,1998
紫竹桥,1,25,紫竹花园,101102345124,2室1厅,1150.0,海淀,1,164.0,2001
圆明园,-1,6,北河沿,101102544767,3室1厅,630.0,海淀,-1,57.0,1988
学院路,-1,3,生态园,101102245871,2室1厅,560.0,海淀,1,62.0,1994
六里桥,-1,6,莲怡园北路1号院,101101594964,3室1厅,545.0,丰台,1,79.0,1998
青塔,-1,6,张仪村4号院,101102585096,1室1厅,230.0,丰台,-1,42.0,1995
角门,1,19,角门东里,101102193778,2室1厅,380.0,丰台,2,73.0,1995
马家堡,1,18,未来明珠,101102620884,2室1厅,625.0,丰台,2,110.0,2003
青塔,0,24,春园,101101974016,2室1厅,500.0,丰台,2,98.0,2001
北大地,-1,6,西四环南路96号,101102137196,2室1厅,310.0,丰台,1,57.0,1989
五里店,-1,6,程庄路3号院,101102551763,2室1厅,270.0,丰台,2,60.0,1980
青塔,0,7,青塔东里,101102458058,2室1厅,450.0,丰台,1,84.0,2000
花乡,0,9,期颐百年,101102480154,2室1厅,419.0,丰台,1,87.0,2011
旧宫,1,16,万源北路7号院,101102535355,2室2厅,419.0,丰台,2,93.0,2012
北大地,-1,6,北大地四里,101102623884,2室1厅,380.0,丰台,2,64.0,1991
方庄,0,22,芳古园二区,101102599706,4室2厅,1196.0,丰台,2,171.0,2000
菜户营,0,14,万泉寺东路9号院,101102621346,3室2厅,610.0,丰台,1,105.0,2008
菜户营,1,30,鹏润家园,101102289266,3室2厅,1250.0,丰台,-1,207.0,2001
右安门外,0,6,玉林东里一区,101102212420,3室1厅,445.0,丰台,2,69.0,1995
马家堡,-1,6,角门16号院,101102623656,2室1厅,345.0,丰台,-1,60.0,1998
太平桥,0,21,尚西泊图,101102624675,3室1厅,750.0,丰台,-1,127.0,2004
新宫,0,15,天骄俊园9号院,101102628459,2室1厅,520.0,丰台,2,96.0,2012
青塔,0,18,广安﹒康馨家园,101102527165,2室1厅,332.0,丰台,1,69.0,2015
青塔,0,34,广安﹒康馨家园,101102621795,2室1厅,345.0,丰台,-1,72.0,2015
青塔,0,28,广安﹒康馨家园,101102596715,2室1厅,350.0,丰台,1,73.0,2014
青塔,1,26,广安﹒康馨家园,101102583424,2室1厅,365.0,丰台,1,76.0,2013
方庄,0,15,芳星园三区,101102571461,3室1厅,490.0,丰台,1,86.0,2000
旧宫,0,6,菊源里,101102564568,4室2厅,760.0,丰台,-1,156.0,2001
赵公口,1,20,康泽园,101102428045,2室1厅,460.0,丰台,1,89.0,2001
方庄,1,27,芳城园一区,101102420205,3室1厅,614.0,丰台,1,97.0,1994
新宫,-1,6,翠海明苑,101102546578,2室1厅,550.0,丰台,2,90.0,2005
科技园区,0,14,北京方向,101102443166,1室1厅,385.0,丰台,2,61.0,2015
洋桥,-1,6,洋桥北里,101101318597,2室1厅,335.0,丰台,1,59.0,1988
青塔,1,20,蔚园,101102433380,3室1厅,500.0,丰台,-1,94.0,1996
西关环岛,0,6,秋实家园,101102164788,3室2厅,335.0,昌平,1,127.0,2000
鼓楼大街,1,28,石坊院,101101726529,2室1厅,475.0,昌平,1,130.0,2010
鼓楼大街,-1,6,新悦家园,101102593890,1室0厅,200.0,昌平,2,38.0,2003
沙河,-1,6,善缘嘉园,101102619706,1室1厅,138.0,昌平,1,22.0,2006
北七家,0,6,温泉花园B区,101102608620,1室1厅,252.0,昌平,2,56.0,2002
鼓楼大街,-1,6,石坊院,101101851930,1室1厅,245.0,昌平,2,54.0,1989
天通苑,1,21,天通公园里,101101442818,1室0厅,295.0,昌平,2,48.0,2008
西关环岛,1,15,蓝郡国际花园,101101304832,1室0厅,230.0,昌平,1,53.0,2009
东关,-1,6,京科苑,101102394704,3室1厅,370.0,昌平,-1,118.0,1998
回龙观,0,11,流星花园三区,101102561685,1室0厅,300.0,昌平,-1,47.0,2006
