Floor,Price,Renovation,Year,Size,Elevator,Room,Hall,Id
6,780.0,3,1988,75.0,0.0,3,1.0,101102647043
6,705.0,3,1988,60.0,0.0,2,1.0,101102650978
16,1400.0,0,1996,210.0,1.0,3,1.0,101102672743
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
7,420.0,3,2004,39.0,1.0,1,1.0,101102577410
19,998.0,3,2010,90.0,1.0,2,2.0,101102574696
18,1180.0,0,2003,111.0,1.0,2,1.0,101102407993
6,319.0,0,1992,42.0,0.0,1,1.0,101102629841
16,640.0,0,1999,105.0,1.0,2,1.0,101102378003
9,1780.0,3,2003,161.0,1.0,3,2.0,101102345859
25,1300.0,3,2002,127.0,1.0,2,2.0,101102070529
5,405.0,3,1986,37.0,0.0,1,1.0,101102599410
5,700.0,0,1985,50.0,0.0,2,1.0,101102516190
19,462.0,3,2004,54.0,1.0,1,1.0,101102620368
18,518.0,3,2000,64.0,1.0,1,0.0,101102624056
23,960.0,0,2002,146.0,1.0,3,1.0,101102691675
4,457.0,2,1957,50.0,0.0,2,0.0,101102653830
18,610.0,2,1986,58.0,1.0,2,1.0,101102570446
18,340.0,3,2011,33.0,1.0,2,1.0,101102583180
17,1120.0,0,1990,78.0,1.0,3,1.0,101102306094
26,320.0,3,2006,28.0,1.0,1,0.0,101101718499
12,596.0,2,1999,59.0,1.0,2,1.0,101102532889
18,888.0,3,1988,78.0,1.0,2,1.0,101102454060
7,405.0,0,1991,45.0,0.0,1,1.0,101102089935
6,650.0,2,1997,60.0,0.0,2,1.0,101102528745
7,470.0,3,1992,61.0,0.0,2,1.0,101102625441
6,635.0,2,1955,84.0,0.0,3,0.0,101102562685
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
7,343.0,3,2001,52.0,1.0,1,0.0,101102161792
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
10,835.0,3,1999,86.0,1.0,2,2.0,101102387406
6,430.0,3,1980,65.0,0.0,2,1.0,101102395918
12,610.0,3,1998,75.0,1.0,2,1.0,101102691041
6,710.0,3,1997,115.0,0.0,3,2.0,101102484521
20,545.0,3,1990,71.0,1.0,2,2.0,101102542167
18,670.0,3,2005,105.0,1.0,2,1.0,101102257420
17,1200.0,2,2009,146.0,1.0,3,2.0,101102022906
6,1295.0,3,2004,259.0,0.0,3,2.0,101102430288
19,1500.0,3,2009,151.0,1.0,5,2.0,101102236046
32,930.0,3,2003,142.0,1.0,3,2.0,101102194563
11,665.0,2,2010,86.0,1.0,2,1.0,101102242404
6,490.0,2,1994,83.0,0.0,3,1.0,101102292255
27,720.0,3,2008,108.0,1.0,2,2.0,101101796327
25,2400.0,3,2011,161.0,1.0,3,2.0,101102409723
22,720.0,0,2001,109.0,1.0,2,2.0,101102315128
6,696.0,3,2000,116.0,0.0,3,1.0,101102553280
14,680.0,3,2006,108.0,1.0,2,1.0,101102528200
14,580.0,3,2004,73.0,1.0,1,1.0,101102158016
22,865.0,3,2002,115.0,1.0,2,1.0,101102377589
18,409.0,2,1993,72.0,1.0,3,1.0,101102330970
13,1350.0,2,1999,176.0,1.0,3,2.0,101102484217
17,2000.0,3,2002,379.0,1.0,4,2.0,101102598253
22,790.0,3,2000,138.0,1.0,3,1.0,101102243227
28,1000.0,3,2007,95.0,1.0,2,1.0,101102139571
7,960.0,3,1999,137.0,0.0,3,2.0,101102158682
25,980.0,3,1995,164.0,1.0,3,1.0,101101485359
5,392.0,2,1981,68.0,0.0,3,1.0,101101543909
3,820.0,2,2004,164.0,0.0,3,2.0,101102600356
22,849.0,3,2002,116.0,1.0,3,1.0,101102424780
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
21,600.0,3,2001,89.0,1.0,2,1.0,101102319029
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
11,380.0,3,2011,44.0,1.0,1,0.0,101102717489
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
10,750.0,3,2003,58.0,1.0,1,1.0,101101752286
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
9,1020.0,2,2004,132.0,1.0,3,2.0,101102458134
16,360.0,2,2005,47.0,1.0,1,0.0,101101374317
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
7,1900.0,2,2000,153.0,1.0,3,2.0,101101559720
5,476.0,2,1980,47.0,0.0,2,1.0,101102646045
6,446.0,0,1986,57.0,0.0,2,1.0,101102486872
18,1239.0,2,1996,177.0,1.0,4,2.0,101101037385
5,2000.0,0,2012,179.0,1.0,3,3.0,101102470203
5,550.0,2,1998,79.0,0.0,2,1.0,101101458578
9,560.0,3,2008,82.0,1.0,2,1.0,101102486548
26,639.0,3,2004,78.0,1.0,1,1.0,101102668310
6,550.0,3,1987,68.0,0.0,3,1.0,101102318042
6,700.0,2,1992,82.0,0.0,3,1.0,101102039176
6,740.0,3,2002,93.0,0.0,2,1.0,101101975796
5,445.0,3,1978,55.0,0.0,2,1.0,101102099261
5,1500.0,0,1996,164.0,0.0,3,2.0,101102571351
9,795.0,3,2012,131.0,1.0,3,2.0,101102523024
6,835.0,3,1997,90.0,0.0,3,1.0,101102431123
18,839.0,3,1999,98.0,1.0,3,2.0,101101865409
6,490.0,2,1996,72.0,0.0,2,1.0,101102347879
18,720.0,2,1990,81.0,1.0,2,1.0,101102566456
7,1250.0,3,2010,150.0,1.0,3,1.0,101102298542
18,560.0,0,1999,114.0,1.0,3,1.0,101102409665
20,1350.0,0,1998,115.0,1.0,3,1.0,101101986001
25,1150.0,2,2001,164.0,1.0,2,1.0,101102345124
6,630.0,0,1988,57.0,0.0,3,1.0,101102544767
3,560.0,2,1994,62.0,0.0,2,1.0,101102245871
6,545.0,2,1998,79.0,0.0,3,1.0,101101594964
6,230.0,0,1995,42.0,0.0,1,1.0,101102585096
